"LA MAÎTRISE DE LA LANGUE FRANÇAISE",,,
,,"Repérer le verbe d’une phrase et son sujet",
,,,"Connaître et appliquer la règle de l’accord du verbe avec son sujet."
,,"Conjuguer les verbes du 1er groupe, être et avoir, au présent, au futur, au passé composé de l’indicatif ; conjuguer les verbes faire, aller, dire, venir, au présent de l’indicatif.",
,,,"Identifier le présent, l’imparfait, le futur et le passé composé de l’indicatif des verbes étudiés ; trouver leur infinitif."
,,,"Conjuguer les verbes du 1er groupe, être et avoir, au présent, au futur, au passé composé de l’indicatif."
,,,"Conjuguer les verbes faire, aller, dire, venir, au présent de l’indicatif. "
,,"Distinguer le présent, du futur et du passé",
,,,"Comprendre la correspondance entre les temps verbaux (passé, présent, futur) et les notions d’action déjà faite, d’action en train de se faire, d’action non encore faite."
,"Étude de la langue : Orthographe",,
,,"Écrire en respectant les correspondances entre lettres et sons et les règles relatives à la valeur des lettres",
,,,"Dans les productions dictées et autonomes : respecter les correspondances entre lettres et sons ; en particulier, respecter les règles relatives à la valeur des lettres en fonction des voyelles placées à proximité (c / ç, c / qu, g / gu / ge, s / ss). "
,,"Écrire sans erreur des mots mémorisés",
,,,"Orthographier sans erreur les mots invariables les plus fréquemment rencontrés ainsi que les mots outils appris au CP."
,,"Orthographier correctement des formes conjuguées ; respecter l’accord entre le sujet et le verbe, ainsi que les accords en genre et en nombre dans le groupe nominal",
,,,"Orthographier sans erreur les formes conjuguées apprises."
,,,"Marquer l’accord entre le sujet et le verbe dans les phrases où l’ordre sujet / verbe est respecté."
,,,"Dans le groupe nominal simple, marquer l’accord de l’adjectif qualificatif avec le nom qu’il qualifie."
"LES PRINCIPAUX ÉLÉMENTS DE MATHÉMATIQUES",,,
,"Nombres et calcul",,
,,"Écrire, nommer, comparer, ranger les nombres entiers naturels inférieurs à 1000",
,,,"Connaître (écrire et nommer) les nombres entiers naturels inférieurs à 1000."
,,,"Écrire ou dire des suites de nombres de 10 en 10, de 100 en 100, etc."
,,,"Repérer et placer ces nombres sur une droite graduée, les comparer, les ranger, les encadrer."
,,"Résoudre des problèmes de dénombrement",
,,,"Résoudre des problèmes de dénombrement sur des collections, en utilisant des groupements."
,,"Calculer : addition, soustraction, multiplication",
,,,"Calculer en lignes des suites d’opérations."
,,,"Connaître et utiliser les techniques opératoires de l’addition et de la soustraction (sur les nombres inférieurs à 1000). "
,,,"Connaître une technique opératoire de la multiplication et l’utiliser pour effectuer des multiplications par un nombre à un chiffre."
,,"Diviser par 2 et par 5 dans le cas où le quotient exact est entier",
,,,"Diviser par 2 ou 5 des nombres inférieurs à 100 (quotient exact entier)."
,,"Restituer et utiliser les tables d’addition et de multiplication par 2, 3, 4 et 5",
,,,"Produire et reconnaître les décompositions additives des nombres inférieurs à 20 (tables d’addition). "
,,,"Connaître les doubles et moitiés de nombres d’usage courant "
,,,"Mémoriser les tables de multiplication par 2, 3, 4 et 5."
,,"Calculer mentalement en utilisant des additions, des soustractions et des multiplications simples",
,,,"Connaître et utiliser des procédures de calcul mental pour calculer des sommes, des différences et des produits. "
,,"Résoudre des problèmes relevant de l’addition, de la soustraction et de la multiplication",
,,,"Résoudre des problèmes relevant de l’addition, de la soustraction et de la multiplication."
,,"Utiliser les fonctions de base de la calculatrice",
,,,"Utiliser les fonctions de base de la calculatrice pour effectuer des opérations simples. "
,,,"Connaître et maîtriser les touches de mise en marche, d’effacement (C) et de validation (=, entrée)."
,"Géométrie",,
,,"Situer un objet par rapport à soi ou à un autre objet, donner sa position et décrire son déplacement",
,,,"Situer un objet et utiliser le vocabulaire permettant de définir des positions (devant, derrière, à gauche de, à droite de…)."
,,"Reconnaître, nommer et décrire les figures planes et les solides usuels",
,,,"Décrire un carré, un rectangle, un triangle rectangle."
,,,"Reconnaître, décrire, nommer quelques solides droits (cube, pavé…)."
,,,"Connaître et utiliser un vocabulaire géométrique élémentaire approprié."
,,"Utiliser la règle et l’équerre pour tracer avec soin et précision un carré, un rectangle, un triangle rectangle",
,,,"Reproduire, tracer un carré, un rectangle, un triangle rectangle."
,,,"Utiliser des instruments pour réaliser des tracés (règle, équerre)."
,,"Percevoir et reconnaître quelques relations et propriétés géométriques : alignement, angle droit, axe de symétrie, égalité de longueurs",
,,,"Percevoir et reconnaître quelques relations et propriétés géométriques (alignement, angle droit, axe de symétrie, égalité de longueurs).
"
,,"Repérer des cases, des nœuds d’un quadrillage",
,,,"Repérer des cases, des nœuds d’un quadrillage."
,,"Résoudre un problème géométrique",
,,,"Résoudre un problème géométrique de reproduction, de construction guidée, de description de figures."
,"Grandeurs et mesures",,
,,"Utiliser les unités usuelles de mesure ; estimer une mesure",
,,,"Connaître la relation entre heure et minute, mètre et centimètre, kilomètre et mètre, kilogramme et gramme, euro et centime d’euro."
,,,"Connaître une unité de contenance (le litre). "
,,,"Repérer les événements de la journée en utilisant les heures et les demi-heures."
,,,"Utiliser un calendrier pour comparer des durées. "
,,,"Comparer et classer des objets selon leur longueur et leur masse."
,,,"Mesurer des segments, des distances."
,,"Être précis et soigneux dans les tracés, les mesures et les calculs",
,,,"Produire des tracés, réaliser des mesures et des calculs, de façon précise et soigneuse."
,,"Résoudre des problèmes de longueur et de masse",
,,,"Résoudre des problèmes de vie courante, de longueur, de masse, de durée et de prix."
,"Organisation et gestion des données",,
,,"Utiliser un tableau, un graphique",
,,,"Utiliser un tableau, un graphique."
,,"Organiser les données d’un énoncé",
,,,"Compléter un tableau dans des situations concrètes simples. "
,,,"Organiser les informations d’un énoncé."
"LES COMPÉTENCES SOCIALES ET CIVIQUES",,,
,"Connaître les principes et fondements de la vie sociale et civique
",,
,,"Reconnaître les emblèmes et les symboles de la République française ",
,,,"Reconnaître et respecter les emblèmes et les symboles de la République (la Marseillaise, le drapeau tricolore, le buste de Marianne, la devise « Liberté, Égalité, Fraternité »). "
,"Avoir un comportement responsable",,
,,"Respecter les autres et les règles de la vie collective",
,,,"Prendre conscience des notions de droits et de devoirs. "
,,,"Être sensibilisé à différentes formes de risques, dans le domaine de la sécurité, de la santé. "
,,,"Être sensibilisé aux risques liés à l’usage de l’internet (cf. compétence 4) et informé sur les formes de maltraitance."
,,"Pratiquer un jeu ou un sport collectif en en respectant les règles ",
,,,"Coopérer avec ses partenaires pour affronter collectivement des adversaires, en respectant des règles, en assurant des rôles différents (attaquant, défenseur, arbitre…). "
,,"Appliquer les codes de la politesse dans ses relations avec ses camarades, avec les adultes à l’école et hors de l’école, avec le maître au sein de la classe",
,,,"Participer en classe à un échange verbal en respectant les règles de communication. "
