"LA MAÎTRISE DE LA LANGUE FRANÇAISE",,,,,
,,,"Lire sans aide une leçon dans un manuel après un travail en classe sur le sujet.",,
,,"Dégager le thème d’un texte",,,
,,,"Lire un texte documentaire, descriptif ou narratif, et restituer à l’oral ou par écrit l’essentiel du texte (sujet du texte, objet de la description, trame de l’histoire, relations entre les personnages...).",,
,,"Repérer dans un texte des informations explicites ",,,
,,,"Repérer dans un texte des informations explicites.",,
,,"Inférer des informations nouvelles (implicites) ",,,
,,,"Inférer des informations nouvelles (implicites).",,
,,"Repérer des effets de choix formels (emploi de certains mots, utilisation d’un niveau de langue)",,,
,,,"Repérer les effets de choix formels (emplois de certains mots, utilisation d’un niveau de langue bien caractérisé, etc.).",,
,,"Utiliser ses connaissances pour réfléchir sur un texte (mieux le comprendre, ou mieux l’écrire)",,,
,,,"Comprendre un texte par le repérage de ses principaux éléments et par l’analyse précise des traits distinctifs qui lui donnent sa cohérence (titre, organisation en phrases et paragraphes, rôle de la ponctuation et des mots de liaison, usage des pronoms, temps verbaux, champs lexicaux). ",,
,,"Effectuer seul, des recherches dans des ouvrages documentaires (livres, produits multimédia)",,,
,,,"Effectuer, seul, des recherches dans des ouvrages documentaires (livres, produits multimédia).",,
,,"Se repérer dans une bibliothèque, une médiathèque",,,
,,,"Se repérer dans une bibliothèque, une médiathèque.",,
,"Écrire",,,,
,,"Copier sans erreur un texte d’au moins quinze lignes en lui donnant une présentation adaptée",,,
,,,"Copier sans erreur un texte d’au moins quinze lignes en lui donnant une présentation adaptée.",,
,,"Utiliser ses connaissances pour réfléchir sur un texte, mieux l’écrire",,,
,,,"Les élèves sont entraînés à rédiger, à corriger et à améliorer leurs productions, en utilisant le vocabulaire acquis, leurs connaissances grammaticales et orthographiques ainsi que les outils mis à disposition (manuels, dictionnaires, répertoires…).",,
,,"Répondre à une question par une phrase complète à l’écrit",,,
,,,"Dans les diverses activités scolaires, proposer une réponse écrite, explicite et énoncée dans une forme correcte.",,
,,"Rédiger un texte d’une quinzaine de lignes (récit, description, dialogue, texte poétique, compte-rendu) en utilisant ses connaissances en vocabulaire et en grammaire",,,
,,,"Rédiger différents types de textes d’au moins deux paragraphes en veillant à leur cohérence, en évitant les répétitions et en respectant les contraintes syntaxiques et orthographiques ainsi que la ponctuation.",,
,,,"Maîtriser la cohérence des temps dans un récit d’une dizaine de lignes.",,
,,,"Écrire un texte de type poétique en obéissant à une ou plusieurs consignes précises.",,
,"Étude la langue : Vocabulaire",,,,
,,"Comprendre des mots nouveaux et les utiliser à bon escient",,,
,,,"Acquisition du vocabulaire : Utiliser à bon escient des termes appartenant aux lexiques des repères temporels, de la vie quotidienne et du travail scolaire.",,
,,,"Acquisition du vocabulaire : Utiliser les termes exacts qui correspondent aux notions étudiées dans les divers domaines scolaires.",,
,,,"Acquisition du vocabulaire : Utiliser à bon escient des termes afférents aux actions, sensations, jugements.",,
,,,"Acquisition du vocabulaire : Commencer à utiliser des termes renvoyant à des notions abstraites (émotions, sentiments, devoirs, droits).",,
,,"Maîtriser quelques relations de sens entre les mots",,,
,,,"Maîtrise du sens des mots : Distinguer les différents sens d’un verbe selon sa construction (ex : jouer, jouer quelque chose, jouer à, jouer de, jouer sur).",,
,,,"Maîtrise du sens des mots : Classer des mots de sens voisin en repérant les variations d’intensité (ex : bon, délicieux, succulent).",,
,,,"Maîtrise du sens des mots : Définir un mot connu en utilisant un terme générique adéquat et en y ajoutant les précisions spécifiques à l’objet défini.",,
,,,"Maîtrise du sens des mots : Identifier l’utilisation d’un mot ou d’une expression au sens figuré.",,
,,"Maîtriser quelques relations concernant la forme et le sens des mots",,,
,,,"Familles de mots : Regrouper des mots selon leur radical.",,
,,,"Familles de mots : Regrouper des mots selon le sens de leur préfixe et connaître ce sens, en particulier celui des principaux préfixes exprimant des idées de lieu ou de mouvement. ",,
,,,"Familles de mots : Regrouper des mots selon le sens de leur suffixe et connaître ce sens. ",,
,,,"Familles de mots : Pour un mot donné, fournir un ou plusieurs mots de la même famille en vérifiant qu’il(s) existe(nt).",,
,,"Savoir utiliser un dictionnaire papier ou numérique",,,
,,,"Utilisation du dictionnaire : Utiliser avec aisance un dictionnaire.",,
,"Étude la langue : Grammaire",,,,
,,"Distinguer les mots selon leur nature",,,
,,,"Les classes de mots : Distinguer la nature des mots (pronoms, articles, adjectifs…).",,
,,"Identifier les fonctions des mots dans la phrase",,,
,,,"Les fonctions : Comprendre la distinction entre compléments essentiels (complément d’objet) et compléments circonstanciels.",,
,,,"Les fonctions : Comprendre la notion de groupe nominal : l’adjectif qualificatif épithète, le complément du nom et la proposition relative comme enrichissement du nom.",,
,,"Conjuguer les verbes, utiliser les temps à bon escient",,,
,,,"Le verbe : Comprendre la notion d’antériorité relative d’un fait passé par rapport à un autre, d’un fait futur par rapport à un autre.",,
,,,"Le verbe : Conjuguer aux temps et modes déjà étudiés ainsi qu’à l’indicatif futur antérieur, plus-que-parfait, conditionnel présent, participe présent et passé, les verbes déjà étudiés.",,
,,,"Le verbe : Conjuguer des verbes non étudiés en appliquant les règles apprises.",,
,"Étude la langue : Orthographe",,,,
,,"Maîtriser l’orthographe grammaticale",,,
,,,"Orthographier correctement les verbes étudiés aux temps étudiés, dont les verbes du premier groupe en -yer, -eter, -eler.",,
,,,"Appliquer la règle de l’accord du verbe avec son sujet, y compris avec le sujet qui de 3ème personne.",,
,,,"Connaître la règle de l’accord du participe passé dans les verbes construits avec être et avoir (cas du complément d’objet direct postposé). ",,
,,,"Écrire sans erreur les homophones grammaticaux déjà étudiés, ainsi que on / on n’, d’on / dont / donc, quel(s) / quelle(s) / qu’elle(s), sans / s’en ; la distinction entre leur et leurs est en cours d’acquisition.",,
,,,"Distinguer par le sens des formes verbales homophones de l’imparfait et du passé composé.",,
,,"Maîtriser l’orthographe lexicale",,,
,,,"Écrire correctement (doublement de la consonne) le début des mots commençant par ap-, ac-, af-, ef-, et of-.",,
,,,"Écrire correctement la syllabe finale des noms terminés par –ée ; par –té ou –tié ; par un e muet.",,
,,,"Respecter la convention de la coupe syllabique à la ligne.",,
,,"Orthographier correctement un texte simple de dix lignes - lors de sa rédaction ou de sa dictée - en se référant aux règles connues d’orthographe et de grammaire ainsi qu’à la connaissance du vocabulaire",,,
,,,"Écrire sans erreur sous la dictée un texte d’au moins dix lignes en mobilisant les connaissances acquises.",,
"PRATIQUE D’UNE LANGUE VIVANTE ÉTRANGÈRE",,,,,
,"Réagir et dialoguer",,,,
,,"Communiquer, au besoin avec des pauses pour chercher ses mots",,,
,,,"Cette capacité est évaluable à travers les activités langagières relevant de la production et de l’interaction orales (se présenter, dialoguer, échanger…).",,
,,"Se présenter, présenter quelqu’un ; demander à quelqu’un de ses nouvelles en utilisant les formes de politesse les plus élémentaires ; accueil et prise de congé",,,
,,,"Établir un contact social en utilisant les formes de politesse les plus élémentaires en situation réelle de classe ou en simulation, pour saluer, prendre congé et remercier ;",,
,,,"Établir un contact social en se présentant et en présentant quelqu’un avec des expressions élémentaires ;",,
,,,"Établir un contact social en donnant et en demandant à quelqu’un de ses nouvelles avec des expressions élémentaires.",,
,,"Répondre à des questions et en poser (sujets familiers ou besoins immédiats) ",,,
,,,"Demander et donner des informations simples relatives  à des sujets familiers : expression des goûts, de la possession, de la localisation, d’un souhait, du prix, de la date, de l’heure, du temps qu’il fait, de quantités, etc. ;",,
,,,"Demander et donner des informations simples relatives  à des besoins immédiats.",,
,,"Épeler des mots familiers ",,,
,,,"Épeler des mots simples d’usage courant pour répondre à un besoin (orthographe).",,
,"Comprendre à l’oral",,,,
,,"Comprendre les consignes de classe",,,
,,,"Comprendre un message oral pour pouvoir répondre à une consigne donnée en situation de classe ordinaire.",,
,,"Comprendre des mots familiers et des expressions très courantes",,,
,,,"Comprendre les points essentiels d’un message oral : encouragements, informations, descriptions, bref dialogue...",,
,,,"Comprendre des mots familiers et des expressions très courantes sur soi et son environnement immédiat.",,
,,,"Suivre le fil d’une histoire simple avec les aides appropriées (lexique imagé, support didactisé…).",,
,,"Suivre des instructions courtes et simples",,,
,,,"Comprendre un message oral et suivre les instructions reçues.",,
,"Parler en continu",,,,
,,"Reproduire un modèle oral",,,
,,,"Restituer des textes en langue étrangère (courts extraits de récits, comptines, virelangues, chansons…) majoritairement issus du patrimoine culturel après les avoir écoutés et mémorisés à partir d’un support audio authentique ou en s’appuyant sur la présence d’un locuteur natif.",,
,,"Utiliser des expressions et des phrases proches des modèles rencontrés lors des apprentissages",,,
,,,"Utiliser des expressions et des phrases proches des modèles rencontrés pour se présenter, se décrire…",,
,,,"Raconter une histoire courte en s’aidant d’images.",,
,,"Lire à haute voix et de manière expressive un texte bref après répétition",,,
,,,"Lire à haute voix une carte de vœux, un bref discours de bienvenue, un petit poème, un court extrait de conte….",,
,"Lire",,,,
,,"Comprendre des textes courts et simples en s’appuyant sur des éléments connus (indications, informations)",,,
,,,"Lire individuellement un court texte (une lettre, une carte postale, un message électronique, un prospectus, un extrait de page web, un questionnaire, une comptine, une chanson, une recette, etc.) et le comprendre.",,
,,"Se faire une idée du contenu d’un texte informatif simple, accompagné éventuellement d’un document visuel",,,
,,,"Lire individuellement un texte informatif simple (un menu, une liste de courses, une enquête, une carte ou un plan, un documentaire simple, une affiche, un panneau de signalisation, etc.) et le comprendre globalement.",,
,"Écrire",,,,
,,"Copier des mots isolés et des textes courts",,,
,,,"Copier une liste, un texte pour présenter des salutations ou souhaits (cartes de vœux par exemple), des comptines ou poèmes… (4 à 5 lignes au maximum).",,
,,"Écrire un message électronique simple ou une carte postale en référence à des modèles",,,
,,,"Écrire un message électronique simple ou une courte carte postale (invitation, réponse, remerciements…).",,
,,"Renseigner un questionnaire",,,
,,,"Renseigner une fiche mentionnant son nom, son âge, sa classe, ses goûts, ses activités, sa famille, etc.",,
,,"Produire de manière autonome quelques phrases",,,
,,,"Produire de manière autonome quelques phrases sur soi-même ou sur des personnages réels ou imaginaires.",,
,,"Écrire sous la dictée des expressions connues",,,
,,,"Écrire sous la dictée des mots et des expressions étudiés précédemment en situation (mots, listes, commandes…).",,
"LES PRINCIPAUX ÉLÉMENTS DE MATHÉMATIQUES ET LA CULTURE SCIENTIFIQUE ET TECHNOLOGIQUE",,,,,
,"Les principaux éléments de mathématiques",,,,
,,"Nombres et calcul",,,
,,,"Écrire, nommer, comparer et utiliser les nombres entiers, les nombres décimaux (jusqu’au centième) et quelques fractions simples",,
,,,,"Nombres entiers naturels",
,,,,,"Nombres entiers naturels : Connaître, savoir écrire et nommer les nombres entiers jusqu’au milliard."
,,,,,"Nombres entiers naturels : Comparer, ranger, encadrer ces nombres."
,,,,"Fractions ",
,,,,,"Fractions : Nommer les fractions simples et décimales en utilisant le vocabulaire : demi, tiers, quart, dixième, centième."
,,,,,"Fractions : Utiliser ces fractions dans des cas simples de partage ou de codage de mesures de grandeurs. "
,,,,,"Fractions : Encadrer une fraction simple par deux entiers consécutifs."
,,,,,"Fractions : Écrire une fraction sous forme de somme d’un entier et d’une fraction inférieure à 1."
,,,,"Nombres décimaux",
,,,,,"Nombres décimaux : Connaître la valeur de chacun des chiffres de la partie décimale en fonction de sa position (jusqu’au 1/100ème). "
,,,,,"Nombres décimaux : Savoir les repérer, les placer sur une droite graduée."
,,,,,"Nombres décimaux : Savoir les comparer, les ranger. "
,,,,,"Nombres décimaux : Savoir encadrer un nombre décimal non entier par deux nombres entiers consécutifs."
,,,,,"Nombres décimaux : Produire des décompositions en utilisant 10 ; 100 ; 1000… et 0,1 ; 0,01. "
,,,,,"Nombres décimaux : Donner une valeur approchée à l’unité près, au dixième ou au centième près."
,,,,,"Nombres décimaux : Passer d’une écriture fractionnaire à une écriture à virgule et réciproquement."
,,,"Restituer les tables d’addition et de multiplication de 2 à 9",,
,,,,"Mémoriser et mobiliser les résultats des tables d’addition et de multiplication.",
,,,"Utiliser les techniques opératoires des quatre opérations sur les nombres entiers et décimaux (pour la division, le diviseur est un nombre entier)",,
,,,,"Addition, soustraction, multiplication de deux nombres entiers ou décimaux.",
,,,,"Division d’un nombre entier naturel ou décimal par un nombre entier.",
,,,"Ajouter deux fractions décimales ou deux fractions simples de même dénominateur",,
,,,,"Ajouter deux fractions décimales ou deux fractions simples de même dénominateur.",
,,,"Calculer mentalement en utilisant les quatre opérations",,
,,,,"Consolider les connaissances et capacités en calcul mental sur les nombres entiers et décimaux. ",
,,,,"Connaître et utiliser des expressions telles que : double, moitié ou demi, triple et tiers, quadruple et quart d’un nombre entier.",
,,,,"Notion de multiple : reconnaître les multiples des nombres d’usage courant : 5, 10, 15, 20, 25, 50. ",
,,,,"Calculer mentalement des sommes, des différences et des produits.",
,,,,"Multiplier et diviser mentalement un nombre entier ou décimal par 10, 100, 1000.",
,,,"Estimer un ordre de grandeur d’un résultat",,
,,,,"Estimer l’ordre de grandeur du résultat d’une opération, d’une mesure etc.",
,,,"Résoudre des problèmes relevant des quatre opérations",,
,,,,"Résoudre des problèmes relevant des quatre opérations, engageant une démarche à une ou plusieurs étapes, de plus en plus complexes.",
,,,"Utiliser une calculatrice",,
,,,,"Utiliser les touches des opérations de la calculatrice.",
,,,,"Connaître quelques fonctionnalités de la calculatrice utiles pour effectuer une suite de calculs.",
,,,,"Utiliser sa calculatrice à bon escient.",
,,"Géométrie",,,
,,,"Reconnaître, décrire et nommer les figures et solides usuels",,
,,,,"Reconnaître, décrire, nommer des figures géométriques : carré, rectangle, losange, triangle (et ses cas particuliers), parallélogramme, cercle.",
,,,,"Décrire une figure en vue de l’identifier parmi d’autres figures ou de la faire reproduire.",
,,,,"Reconnaître qu’une figure possède un ou plusieurs axes de symétrie.",
,,,,"Utiliser en situation le vocabulaire géométrique : côté, sommet, angle, milieu, diagonale, centre d’un cercle, rayon, diamètre, axe de symétrie.",
,,,,"Reconnaître, décrire et nommer les solides droits : cube, pavé, cylindre, prisme.",
,,,,"Reconnaître, décrire et nommer une pyramide.",
,,,,"Reconnaître et compléter un patron de solide droit.",
,,,,"Utiliser en situation le vocabulaire : face, arête, sommet (d’un solide).",
,,,"Utiliser la règle, l’équerre et le compas pour vérifier la nature de figures planes usuelles et les construire avec soin et précision",,
,,,,"Tracer des figures géométriques : carré, rectangle, losange, triangle rectangle…",
,,,,"Vérifier la nature d’une figure en ayant recours aux instruments.",
,,,,"Construire un cercle avec un compas.",
,,,,"Reproduire un triangle à l’aide d’instruments.",
,,,,"Construire une hauteur d’un triangle.",
,,,"Percevoir et reconnaître parallèles et perpendiculaires",,
,,,,"Utiliser les instruments pour vérifier le parallélisme et la perpendicularité de deux droites (règle, équerre) et pour tracer des droites parallèles et des droites perpendiculaires.",
,,,,"Utiliser en situation le vocabulaire géométrique : points alignés, droite, droites perpendiculaires, droites parallèles, segment.",
,,,"Résoudre des problèmes de reproduction, de construction",,
,,,,"Reproduire des figures sur papier uni, quadrillé ou pointé, à partir d’un modèle.",
,,,,"Tracer une figure sur papier uni, quadrillé ou pointé, à partir de consignes ou d’un programme de construction ou d’un dessin à main levée (avec des indications relatives aux propriétés et aux dimensions).",
,,"Grandeurs et mesures",,,
,,,"Utiliser des instruments de
mesure",,
,,,,"Lire l’heure sur une montre à aiguille ou une horloge.",
,,,,"Utiliser des instruments pour mesurer des longueurs, des masses, des capacités.",
,,,,"Reporter des longueurs à l’aide du compas.",
,,,,"Reproduire un angle donné et comparer les angles d’une figure en utilisant un gabarit.",
,,,,"Estimer et vérifier en utilisant l’équerre qu’un angle est droit, aigu ou obtus.",
,,,,"Mesurer ou estimer l’aire d’une surface grâce à un pavage effectif à l’aide d’une surface de référence ou grâce à l’utilisation d’un réseau quadrillé.",
,,,,"Classer et ranger des surfaces selon leur aire.",
,,,"Connaître et utiliser les formules du périmètre et de l’aire d’un carré, d’un rectangle et d’un triangle",,
,,,,"Connaître et utiliser les formules du périmètre du carré et du rectangle.",
,,,,"Calculer le périmètre d’un polygone.",
,,,,"Calculer l’aire d’un carré, d’un rectangle, d’un triangle en utilisant la formule appropriée.",
,,,"Utiliser les unités de mesures usuelles",,
,,,,"Connaître et utiliser les unités usuelles de mesure des durées, ainsi que les unités du système métrique pour les longueurs, les masses et les contenances, et leurs relations : mètre, kilomètre, centimètre, millimètre, kilogramme, gramme, litre, centilitre, euro et centime, heure, minute, seconde, mois, année.",
,,,,"Connaître et utiliser les unités d’aire usuelles (cm², m² et km²).",
,,,,"Connaître la formule du volume du pavé droit (initiation à l’utilisation d’unités métriques de volume). ",
,,,,"Calculer une durée à partir de la donnée de l’instant initial et de l’instant final.",
,,,"Résoudre des problèmes dont la résolution implique des conversions",,
,,,,"Résoudre des problèmes dont la résolution implique des conversions.",
,,,,"Résoudre des problèmes dont la résolution implique simultanément des unités différentes de mesure.",
,,"Organisation et gestion de données",,,
,,,"Lire, interpréter et construire quelques représentations simples : tableaux, graphiques",,
,,,,"Construire un tableau ou un graphique.",
,,,,"Interpréter un tableau ou un graphique.",
,,,,"Lire les coordonnées d’un point.",
,,,,"Placer un point dont on connaît les coordonnées.",
,,,"Savoir organiser des informations numériques ou géométriques, justifier et apprécier la vraisemblance d’un résultat",,
,,,,"Savoir organiser les données d’un problème numérique ou géométrique en vue de sa résolution.",
,,,"Résoudre un problème mettant en jeu une situation de proportionnalité",,
,,,,"Résoudre des problèmes relevant de la proportionnalité et notamment des problèmes relatifs aux pourcentages, aux échelles, aux vitesses moyennes ou aux conversions d’unité en utilisant des procédures variées (dont la « règle de trois »).",
,"La culture scientifique et technologique",,,,
,,"Pratiquer une démarche scientifique ou technologique",,,
,,,"Pratiquer une démarche d’investigation : savoir observer, questionner",,
,,,,"La démarche d’investigation : poser une question à partir de l’observation d’un phénomène ou d’informations fournies ",
,,,,"La démarche d’investigation : envisager une ou plusieurs explications possibles.",
,,,"Manipuler et expérimenter, formuler une hypothèse et la tester, argumenter, mettre à l’essai plusieurs pistes de solutions",,
,,,,"Essayer de trouver une réponse par l’expérimentation ou la documentation",
,,,,,"Prévoir puis tester un dispositif d’expérimentation (en faisant plusieurs essais) ou rechercher dans une documentation ;"
,,,,,"Recueillir et consigner les résultats obtenus par l’observation, par la mesure ou par la recherche documentaire "
,,,,,"Confronter les résultats avec les hypothèses de départ ;"
,,,,,"Argumenter pour valider, ou non, l’hypothèse de départ."
,,,"Exprimer et exploiter les résultats d’une mesure et d’une recherche en utilisant un vocabulaire scientifique à l’écrit ou à l’oral",,
,,,,"Produire un court texte faisant la synthèse des observations et des conclusions (le texte produit utilise un vocabulaire spécifique et peut être accompagné d’un schéma explicatif).",
,,,,"Rendre compte de la recherche, des résultats obtenus et formuler une conclusion.",
,,,,"S’appuyer sur un ou plusieurs schémas.",
,,"Maîtriser des connaissances dans divers domaines scientifiques et les mobiliser dans des contextes scientifiques différents et dans des activités de la vie courante",,,
,,,"Le ciel et la terre",,
,,,,"Le mouvement de la Terre (et des planètes) autour du Soleil, la rotation de la Terre sur elle-même ; la durée du jour et son changement au cours des saisons.",
,,,,"Le mouvement de la Lune autour de la Terre.",
,,,,"Lumières et ombres.",
,,,,"Volcans et séismes, les risques pour les sociétés humaines.",
,,,"La matière",,
,,,,"L’eau, une ressource : états et changements d’état, le trajet de l’eau dans la nature, le maintien de sa qualité pour ses utilisations.",
,,,,"L’air et les pollutions de l’air.",
,,,,"Mélanges et solutions.",
,,,,"Les déchets : réduire, réutiliser, recycler.",
,,,"L’énergie",,
,,,,"Exemples simples de sources d’énergies (fossiles ou renouvelables).",
,,,,"Besoins en énergie (consommation, économie d’énergie).",
,,,"L’unité et la diversité du vivant",,
,,,,"Présentation de la biodiversité : recherche de différences et de ressemblances entre espèces vivantes.",
,,,,"Présentation de l’unité du vivant : recherche de points communs entre espèces vivantes.",
,,,,"Présentation de la classification du vivant : interprétation de ressemblances et de différences en termes de parenté.",
,,,"Le fonctionnement du vivant",,
,,,,"Les stades du développement d’un être vivant (végétal ou animal).",
,,,,"Les conditions de développement des végétaux et des animaux.",
,,,,"Les modes de reproduction des êtres vivants.",
,,,"Le fonctionnement du corps humain et la santé ",,
,,,,"Les mouvements corporels (les muscles, les os du squelette, les articulations).",
,,,,"Première approche des fonctions de nutrition : digestion, respiration et circulation sanguine.",
,,,,"Reproduction de l’Homme et éducation à la sexualité.",
,,,,"Hygiène et santé : actions bénéfiques ou nocives de nos comportements, notamment dans le domaine du sport, de l’alimentation, du sommeil.",
,,,"Les êtres vivants dans leur environnement",,
,,,,"L’adaptation des êtres vivants aux conditions du milieu.",
,,,,"Places et rôles des êtres vivants ; notions de chaînes et de réseaux alimentaires.",
,,,,"L’évolution d’un environnement géré par l’Homme : la forêt ; importance de la biodiversité.",
,,,"Les objets techniques",,
,,,,"Circuits électriques alimentés par des piles.",
,,,,"Règles de sécurité, dangers de l’électricité.",
,,,,"Leviers et balances, équilibres. Objets mécaniques, transmission de mouvements.",
,,"Environnement et développement durable",,,
,,,"Mobiliser ses connaissances pour comprendre quelques questions liées à l’environnement et au développement durable et agir en conséquence",,
,,,,"Mobiliser ses connaissances pour comprendre et agir efficacement sur les problèmes  de pollution de l’air, de l’eau .",
,,,,"Mobiliser ses connaissances pour comprendre et agir efficacement sur les problèmes du recyclage des déchets.",
,,,,"Mobiliser ses connaissances pour comprendre et agir efficacement sur les problèmes de l’activité humaine et de ses conséquences sur l’environnement.",
,,,,"Mobiliser ses connaissances pour comprendre et agir efficacement sur les problèmes de ressources, de pollution, de risque et de prévention.",
,,,,"Mobiliser ses connaissances pour comprendre et agir efficacement sur les problèmes de la responsabilité de chacun face à l’environnement, au monde du vivant, à la santé.",
"LA MAÎTRISE DES TECHNIQUES USUELLES DE L’INFORMATION ET DE LA COMMUNICATION",,,,,
,"S’approprier un environnement informatique de travail",,,,
,,"Connaître et maîtriser les fonctions de base d’un ordinateur et de ses périphériques",,,
,,,"Identifier la fonction des différents éléments composant l’environnement informatique.",,
,,,"Démarrer et arrêter les équipements et les logiciels.",,
,,,"Utiliser les dispositifs de pointage et de saisie (souris, clavier…).",,
,,,"Se déplacer dans une arborescence.",,
,"Adopter une attitude responsable",,,,
,,"Prendre conscience des enjeux citoyens de l’usage de l’informatique et de l’internet et adopter une attitude critique face aux résultats obtenus",,,
,,,"Appliquer les règles élémentaires d’usage de l’informatique et d’internet.",,
,,,"Faire preuve d’esprit critique face à l’information et à son traitement.",,
,,,"Participer à des travaux collaboratifs en connaissant les enjeux et en respectant les règles.",,
,"Créer, produire, traiter, exploiter des données",,,,
,,"Produire un document numérique : texte, image, son",,,
,,,"Créer, produire un document numérique et le modifier.",,
,,,"Organiser dans un même document des médias différents (texte, image ou son), issus d’une bibliothèque ou de sa propre composition.",,
,,"Utiliser l’outil informatique pour présenter un travail",,,
,,,"Utiliser un logiciel simple (un traitement de texte par exemple) pour présenter un travail individuel communicable à l’enseignant.",,
,"S’informer, se documenter",,,,
,,"Lire un document numérique ",,,
,,,"Consulter un document à l’écran.",,
,,"Chercher des informations par voie électronique",,,
,,,"Identifier et trier des informations dans un document.",,
,,,"Utiliser les fonctions de base d’un navigateur.",,
,,"Découvrir les richesses et les limites des ressources de l’internet",,,
,,,"Effectuer une recherche simple.",,
,"Communiquer, échanger",,,,
,,"Échanger avec les technologies de l’information et de la communication",,,
,,,"Envoyer et recevoir un message, un commentaire.",,
,,,"Découvrir différentes situations de communication en mode direct ou différé.",,
"LA CULTURE HUMANISTE",,,,,
,"Avoir des repères relevant du temps et de l’espace",,,,
,,"Identifier les périodes de l’histoire au programme",,,
,,,"Identifier les principales périodes de l’histoire en les situant dans l’ordre chronologique et en les caractérisant simplement, par le recours à des récits et par l’analyse de quelques documents.",,
,,"Connaître et mémoriser les principaux repères chronologiques (évènements et personnages)",,,
,,,"Mémoriser quelques repères chronologiques en les situant les uns par rapport aux autres et en s’appuyant sur leurs caractéristiques majeures.",,
,,,"Savoir utiliser les principaux termes du vocabulaire spécifique lié aux notions étudiées.",,
,,"Connaître les principaux caractères géographiques physiques et humains de la région où vit l’élève, de la France et de l’Union européenne, les repérer sur des cartes à différentes échelles",,,
,,,"Identifier sur des cartes, à différentes échelles, des espaces et des lieux.",,
,,,"Savoir utiliser des cartes à différentes échelles pour situer les repères géographiques étudiés.",,
,,,"Savoir utiliser les principaux termes du vocabulaire spécifique lié aux notions et aux espaces étudiés.",,
,"Avoir des repères relevant du temps et de l’espace",,,,
,,"Comprendre une ou deux questions liées au développement durable et agir en conséquence (l’eau dans la commune, la réduction et le recyclage des déchets)",,,
,,,"A partir de sujets d’étude, avoir une première approche du développement durable en articulant les notions avec l’enseignement des sciences.",,
,"Avoir des repères littéraires",,,,
,,"Lire des œuvres majeures du patrimoine et de la littérature pour la jeunesse",,,
,,,"Donner à chaque élève un répertoire de références appropriées à son âge, puisées dans le patrimoine, et dans la littérature de jeunesse d’hier et d’aujourd’hui.",,
,,"Établir des liens entre les textes lus",,,
,,,"Mettre en relation des textes entre eux pour dégager des ressemblances et des différences (thèmes, personnages, évènements, situation spatiale et temporelle…), et des références culturelles.",,
,"Lire et pratiquer différents langages",,,,
,,"Lire et utiliser textes, cartes, croquis, graphiques",,,
,,,"L’explication du monde demande la maîtrise de différents langages articulés entre eux. « Lire et utiliser » recouvrent à la fois la compréhension de ces différents langages et la capacité à les mobiliser dans des productions schématiques, orales ou écrites.",,
,"Pratiquer les arts et avoir des repères en histoire des arts",,,,
,,"Distinguer les grandes catégories de la création artistique (littérature, musique, danse, théâtre, cinéma, dessin, peinture, sculpture, architecture)",,,
